+10p	14.88068
+10p	14.88944
+10p	14.89709
+10p	14.90365
+10p	14.90914
+10p	14.91359
+10p	14.91700
+10p	14.91941
+10p	14.92084
+10p	14.92129
+10p	14.92080
+10p	14.91938
+10p	14.91705
+10p	14.91383
+10p	14.90974
+10p	14.90480
+10p	14.89902
+10p	14.89242
+10p	14.88502
+10p	14.87684
+10p	14.86789
+10p	14.85819
+10p	14.84776
+10p	14.83662
+10p	14.82477
+10p	14.81224
+10p	14.79904
+10p	14.78518
+10p	14.77069
+10p	14.75557
+10p	14.73984
+10p	14.72351
+10p	14.70661
+10p	14.68914
+10p	14.67111
+10p	14.65254
+10p	14.63345
+10p	14.61384
+10p	14.59373
+10p	14.57313
+10p	14.55206
+10p	14.53051
+10p	14.50852
+10p	14.48609
+10p	14.46322
+10p	14.43994
+10p	14.41625
+10p	14.39217
+10p	14.36770
+10p	14.34285
+10p	14.31764
+10p	14.29208
+10p	14.26617
+10p	14.23993
+10p	14.21336
+10p	14.18648
+10p	14.15929
+10p	14.13181
+10p	14.10403
+10p	14.07598
+10p	14.04766
+10p	14.01907
+10p	13.99023
+10p	13.96115
+10p	13.93183
+10p	13.90227
+10p	13.87250
+10p	13.84251
+10p	13.81232
+10p	13.78193
+10p	13.75134
+10p	13.72057
+10p	13.68962
+10p	13.65850
+10p	13.62721
+10p	13.59577
+10p	13.56417
+10p	13.53243
+10p	13.50055
+10p	13.46853
+10p	13.43639
+10p	13.40412
+10p	13.37174
+10p	13.33925
+10p	13.30665
+10p	13.27396
+10p	13.24117
+10p	13.20829
+10p	13.17532
+10p	13.14228
+10p	13.10916
+10p	13.07597
+10p	13.04272
+10p	13.00941
+10p	12.97604
+10p	12.94262
+10p	12.90915
+10p	12.87564
+10p	12.84209
+10p	12.80851
+10p	12.77489
+10p	12.74125
+10p	12.70759
+10p	12.67390
+10p	12.64020
+10p	12.60649
+10p	12.57277
+10p	12.53904
+10p	12.50532
+10p	12.47159
+10p	12.43787
+10p	12.40416
+10p	12.37045
+10p	12.33676
+10p	12.30309
+10p	12.26944
+10p	12.23581
+10p	12.20220
+10p	12.16863
+10p	12.13508
+10p	12.10157
+10p	12.06809
+10p	12.03465
+10p	12.00126
+10p	11.96790
+10p	11.93459
+10p	11.90133
+10p	11.86812
+10p	11.83496
+10p	11.80185
+10p	11.76880
+10p	11.73581
+10p	11.70288
+10p	11.67001
+10p	11.63720
+10p	11.60446
+10p	11.57179
+10p	11.53919
+10p	11.50666
+10p	11.47420
+10p	11.44182
+10p	11.40951
+10p	11.37728
+10p	11.34512
+10p	11.31305
+10p	11.28106
+10p	11.24916
+10p	11.21733
+10p	11.18560
+10p	11.15395
